student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade,performance_category
32303,14.5,72.4,5.6,100,A,Excellent
17727,19.1,91,5.2,100,A,Excellent
3853,24.1,55.1,4.7,97.5,A,Excellent
3486,11.4,98.3,9.9,67.9,C,Average
748,9.7,85.6,4.6,76.2,B,Good
36299,17.3,84.2,6,89.7,A,Good
15385,21.2,99.1,7.8,100,A,Excellent
9524,30.2,92.2,6.6,100,A,Excellent
23222,15.8,83.8,9.3,88.9,A,Good
1156,22.1,82.3,5.7,100,A,Excellent
22897,20.7,88.3,7.4,100,A,Excellent
25179,19.4,100,5.5,98.3,A,Excellent
6406,24.4,99.7,6.5,100,A,Excellent
27204,1.5,88.7,5.3,66.1,C,Average
32652,21,74.4,4,85.3,A,Good
31962,10.8,90.9,9.8,71.1,B,Average
26865,15.2,100,7.3,99.8,A,Excellent
11480,6.4,74,8.9,79.9,B,Good
24373,18.7,90.3,5,95.4,A,Excellent
16283,21,93.6,6.4,99.3,A,Excellent
38301,16.3,83.5,5.4,81.6,B,Good
14438,10,90,6.3,80,B,Good
35578,16.4,74.1,3,100,A,Excellent
11882,12.7,95,6.9,75.5,B,Good
20240,18.7,85.6,6.6,99,A,Excellent
2857,10,90.1,8.9,64.5,C,Average
16335,19.9,80.5,4,99.4,A,Excellent
36531,21,89.4,7.2,100,A,Excellent
15002,14.8,83.5,8.3,91.3,A,Excellent
29297,3.6,100,4.7,65.1,C,Average
5506,20.9,86.9,6.7,85.8,A,Good
8705,27.2,66.9,4.6,99.2,A,Excellent
23170,15.8,92,3.5,95.8,A,Excellent
24276,15.1,73.7,6.2,81.7,B,Good
30562,6.7,80.5,6.7,58.7,C,Poor
19412,12.1,88.9,6.1,84.1,B,Good
23590,9.6,99.6,7.3,81.8,B,Good
28545,23.4,98,6.5,94.1,A,Excellent
23510,18.9,67.8,5,88.4,A,Good
20064,18.9,87.4,4.9,100,A,Excellent
23749,20.4,68.4,4.6,100,A,Excellent
17556,19.1,67.3,5.3,100,A,Excellent
37100,24.7,77.1,5.9,100,A,Excellent
26064,19.4,71.6,5.7,100,A,Excellent
9750,23.1,90.4,6.1,100,A,Excellent
29608,10.7,84.5,9.7,84.9,B,Good
34712,34.3,91.9,9.1,100,A,Excellent
25686,13.9,80.8,7.8,90.2,A,Excellent
16130,25.2,96.9,6.1,100,A,Excellent
S168,18,87,8,103.5,A+,Excellent
26506,17,65.9,8.1,90.4,A,Excellent
29982,12.3,75.5,8,75.2,B,Good
34398,21.7,87.2,7.2,84.1,B,Good
14346,13.3,92.9,7.8,78.2,B,Good
27800,4.4,67.3,6.5,54.2,D,Poor
11525,9.3,70.3,6.4,59.2,C,Poor
21793,12.9,75.6,7.1,91.3,A,Excellent
1877,11.1,91.9,7.2,71.7,B,Average
20109,23.8,87.2,4.3,100,A,Excellent
21907,23,94.7,4.7,100,A,Excellent
3886,18.8,83.2,3.3,85.3,A,Good
21685,14.1,80.4,7.2,80.8,B,Good
7045,20.6,85.4,6.3,86.4,A,Good
38762,25.6,80.7,5,100,A,Excellent
2413,7.1,87.5,2.9,57.7,C,Poor
17333,15.8,96.8,4.6,97.3,A,Excellent
12507,15,89.6,6.9,87.2,A,Good
34336,8,86,8.9,66.9,C,Average
6864,16.8,96.1,5,100,A,Excellent
28976,4.2,96.1,4,69.7,C,Average
10400,1.9,100,4.2,56.7,C,Poor
14770,9.3,100,8.1,69,C,Average
22814,0,86.1,2.4,44.2,D,Poor
21924,17.7,97.3,7.8,80.2,B,Good
18094,10.3,69.5,5.6,77,B,Good
30679,13.1,62.9,7.9,87.4,A,Good
9361,25,75.4,7.5,100,A,Excellent
36018,13.4,83.6,6.7,66.8,C,Average
24342,17,86.6,7.2,80.6,B,Good
1286,5.7,90.1,7,68.5,C,Average
20189,9,83.1,4.7,73.1,B,Average
24248,17.6,92.2,2.6,97.2,A,Excellent
6000,6.8,87.6,7.2,63,C,Average
11803,11.4,91.5,3.4,82.8,B,Good
29330,12.4,82.5,8.7,76.9,B,Good
31482,10.9,83.2,6.4,68,C,Average
29612,15.8,87.9,2.5,90.4,A,Excellent
38197,15.4,85.2,4,92.7,A,Excellent
14276,18.6,94.4,6.6,91.3,A,Excellent
5599,15.8,77.5,9.7,69.1,C,Average
33704,15.8,87.7,6.3,100,A,Excellent
5122,11.9,95.5,5.3,74.2,B,Average
5381,10.9,84.9,4.2,68.3,C,Average
27403,13.5,87.4,9.4,73.1,B,Average
17581,24.8,87.9,5.7,100,A,Excellent
12986,1.7,93.2,6.7,64.7,C,Average
2794,8.5,96.2,5.6,70,C,Average
27855,10.4,88.9,7.7,71.7,B,Average
8771,12.4,89.4,5.9,72.8,B,Average
1093,20.1,88.8,4.1,86.3,A,Good
34198,17.8,93.9,8.7,92,A,Excellent
28121,24.7,100,7.7,100,A,Excellent
36942,9.1,91.1,8.5,77.2,B,Good
12080,20.1,85.7,7.6,100,A,Excellent
26818,25.8,91.1,6.5,100,A,Excellent
2433,14.8,93.6,9.2,94.9,A,Excellent
16848,16.9,73.7,6.6,94.5,A,Excellent
30246,13.4,85.8,3.5,77.4,B,Good
39634,12.6,80.4,9.8,72,B,Average
14125,30,81.5,5.2,100,A,Excellent
34900,23.7,90.9,5.8,100,A,Excellent
4028,13.2,78.7,9,74.6,B,Average
36420,24,81.1,7.1,95.1,A,Excellent
36226,18.1,89.3,7.4,100,A,Excellent
36647,18.5,100,5.8,85.5,A,Good
14358,17.1,98,6.5,83.8,B,Good
36151,16.7,87.8,7.6,94.9,A,Excellent
1313,24.7,100,4.7,100,A,Excellent
13365,15.3,88.8,6,80.4,B,Good
33634,21.7,96.8,5.1,100,A,Excellent
4881,22,88.4,7.2,99.1,A,Excellent
24766,9.9,86.8,5.1,64.7,C,Average
1485,16.6,87.7,4.5,92.6,A,Excellent
4809,25,81.7,2.4,100,A,Excellent
12177,1.1,85.2,3.8,47.6,D,Poor
8993,13.9,97.8,7.5,95.1,A,Excellent
25418,14.5,83.7,6,91.7,A,Excellent
22360,23.1,73.2,3.1,99.1,A,Excellent
34455,11.8,82,4.8,90.3,A,Excellent
30726,13.6,100,6.9,84.4,B,Good
27653,19.2,98.1,3.6,93,A,Excellent
15270,8.6,69.1,9.4,87.8,A,Good
34389,11.6,81.4,10,59.3,C,Poor
26179,21.2,100,8.2,100,A,Excellent
29118,6.6,65.7,5.7,72.2,B,Average
27563,13.1,82.3,7.3,89.3,A,Good
18761,17.3,100,4.5,80.5,B,Good
31823,20.1,86.2,6.4,100,A,Excellent
23381,9.7,72.1,4.8,86.4,A,Good
18889,12.6,94.5,3,74.2,B,Average
28271,13.4,79.3,4.5,81,B,Good
10663,21.6,100,6.3,97.1,A,Excellent
30884,9.3,91.6,4.5,61.3,C,Average
22213,12.1,72.5,4,58.2,C,Poor
12055,13.8,78.1,6.8,97.4,A,Excellent
2302,8,88.3,2.9,77,B,Good
29852,21.3,93.9,9.9,100,A,Excellent
7836,9.2,68.2,4.7,66.7,C,Average
26585,18.7,64.3,6.5,97.9,A,Excellent
33591,15.5,89.3,6.7,85,A,Good
31173,23,73.2,5,100,A,Excellent
10987,26.7,77.9,8.6,100,A,Excellent
5530,14.2,79.7,5.6,80.7,B,Good
37720,27.7,100,3.6,100,A,Excellent
29017,20.1,92.2,5.9,79.3,B,Good
25820,6,86.3,7.7,67.2,C,Average
26274,9.3,88.6,6.5,91.9,A,Excellent
2367,11.2,66.6,6.2,63.4,C,Average
20652,25.9,85.5,7,100,A,Excellent
18863,7.5,91.3,4.5,58.5,C,Poor
103,12.6,73.3,4.5,68.1,C,Average
12919,9.2,71.7,7.7,80.1,B,Good
4443,18.9,82.3,6.3,87.6,A,Good
35399,20.3,100,4.1,100,A,Excellent
9888,12.7,85.7,6.1,88.1,A,Good
12883,7.8,77,6,75.6,B,Good
16975,5.8,69.9,4,74,B,Average
20121,9.2,89.8,5.8,80.8,B,Good
14061,22.6,90.6,5.7,94.7,A,Excellent
4954,21.8,96.3,10,100,A,Excellent
20863,9.2,78,4.9,72,B,Average
28399,12.2,81.8,8.9,76,B,Good
16907,17.1,72.7,7.6,70.8,B,Average
4127,8.8,73.4,9.1,68.4,C,Average
22210,19.2,98.3,4.1,100,A,Excellent
12415,25.6,90.4,7.2,100,A,Excellent
16884,14.7,100,8.9,89.8,A,Good
8359,11,88.9,7.5,90.1,A,Excellent
18560,15.9,63,0.6,91.2,A,Excellent
804,11.8,83.6,6.2,68.5,C,Average
2970,16.9,80.5,5.7,100,A,Excellent
32592,9.7,95.1,5.1,59.6,C,Poor
9430,29.2,72.3,1.1,100,A,Excellent
17908,16.5,73,3.7,83.3,B,Good
16422,22.8,75,4.4,100,A,Excellent
13268,20.4,83.5,6.7,100,A,Excellent
18494,5.9,73.9,6,83.4,B,Good
9905,21.8,70.6,6.2,100,A,Excellent
242,14.2,87.3,7.1,81.5,B,Good
28442,7,84.9,7,77.3,B,Good
828,11.3,81.2,7.5,62.2,C,Average
102,12.1,94.3,2.2,73.4,B,Average
1517,25.6,96.1,3.1,93.4,A,Excellent
16243,14,93.6,7.5,90.1,A,Excellent
20283,16.8,84.1,4.5,84.3,B,Good
23557,10.1,80.7,6.4,79.4,B,Good
37615,6.2,77.5,10,79.8,B,Good
24259,19.2,93.4,4.4,91.3,A,Excellent
24547,14.6,74.8,6.6,66.9,C,Average
17970,7.6,72.7,5.7,47.9,D,Poor
35934,4.9,81.9,3.3,45.7,D,Poor
12654,17.7,87.1,4.5,93.7,A,Excellent
32301,17,100,4.6,90.4,A,Excellent
12795,32.5,87.5,5.2,100,A,Excellent
16514,15.6,95.2,4.2,76.6,B,Good
22876,23.7,66.9,8.4,100,A,Excellent
31671,6.1,91.6,8.3,58.1,C,Poor
10382,21.6,77,2.1,100,A,Excellent
8095,15.3,88.6,6.7,94.7,A,Excellent
9223,21.6,98.7,4.4,100,A,Excellent
18759,12.8,82.3,5.8,81.1,B,Good
16644,7.4,79.4,8,83.9,B,Good
24277,9,93.1,6.9,71.6,B,Average
28772,17.4,81.3,5.9,90.2,A,Excellent
28988,13.5,86,3.4,96.2,A,Excellent
5963,15.2,84.6,7.8,100,A,Excellent
22564,12.9,81.5,4.4,94.1,A,Excellent
2411,20.7,92.1,5.6,96.9,A,Excellent
31835,32.8,91.3,4.4,100,A,Excellent
31187,13.4,75.5,6.5,84.7,B,Good
7902,7.1,100,6.3,82.4,B,Good
17003,24.5,74,6.8,99.6,A,Excellent
35129,20.6,89.9,5.7,95,A,Excellent
4018,19.9,76.4,5.2,100,A,Excellent
14347,10.2,50.1,7.2,80.3,B,Good
32741,9.4,88.6,5.5,70.5,B,Average
27122,18.7,85.2,8.7,100,A,Excellent
38083,18.4,99.2,8.3,91.9,A,Excellent
31029,32.7,88,6.6,100,A,Excellent
23948,14.2,84.8,5,90.1,A,Excellent
28183,19.3,84.7,3.1,97.5,A,Excellent
31961,9.3,82,7.5,64.6,C,Average
34848,6.7,81.7,9.6,81.2,B,Good
10840,10.8,100,7.4,73.6,B,Average
36022,12,78.6,0.2,59.4,C,Poor
3441,16,79,5.7,63.3,C,Average
29720,1.1,80.6,5.6,60.8,C,Average
39352,18.8,84.4,10,95,A,Excellent
12570,11.7,61,9.6,69.1,C,Average
35133,22.7,100,7.6,99.9,A,Excellent
35010,12,79,8,100,A,Excellent
10137,6.6,83.9,6.8,57.9,C,Poor
5874,8.6,91.4,4.8,62.9,C,Average
3808,1.2,75.2,7.2,58.7,C,Poor
5525,9,71.7,5.3,69,C,Average
11043,13.4,75.2,6.9,76.7,B,Good
37854,7.8,83.2,4,83.5,B,Good
13938,9.5,72.4,8.8,54.3,D,Poor
39469,16.4,74.8,4.9,99.2,A,Excellent
38012,11.3,95.8,6.9,76.8,B,Good
7581,23.3,71.3,5.5,100,A,Excellent
3658,0.4,96.5,5.4,79.4,B,Good
25307,15.7,80.9,5.3,69.4,C,Average
5945,18.5,86.6,8.1,94.3,A,Excellent
21852,22.9,88.4,5,100,A,Excellent
25268,11.6,91.7,5,81.5,B,Good
1221,6.7,95.7,5.5,62.5,C,Average
39597,16.5,85.5,4.4,96.6,A,Excellent
17084,24.4,80.6,6.6,100,A,Excellent
27859,18.9,92.6,4.3,78.3,B,Good
5380,11.1,81.7,8.5,78.8,B,Good
36231,14,72.7,6.2,86,A,Good
29234,6.1,95.8,6.2,75.5,B,Good
12742,25.5,63.4,5.3,100,A,Excellent
12464,13.9,90.7,5.6,100,A,Excellent
30043,9.3,88.9,2.9,74.7,B,Average
18418,19.5,88.8,4.4,100,A,Excellent
7071,23.4,91.7,7.1,100,A,Excellent
36336,17.3,89.6,6.9,85,B,Good
15694,18.9,74.8,7.8,99.3,A,Excellent
6376,22.7,88.6,8.6,100,A,Excellent
28425,18.9,80,2,97.8,A,Excellent
3936,17.7,77.4,6.2,87.6,A,Good
7125,24.4,81.1,5.6,100,A,Excellent
22162,23.7,93.4,6.9,100,A,Excellent
21797,11.8,84.5,7.1,58.8,C,Poor
11740,15.9,92.4,7.1,73.3,B,Average
9264,9.6,84.3,5.2,73.1,B,Average
38926,18.3,71.6,6.3,100,A,Excellent
7755,15.4,77.1,2.9,71.9,B,Average
26185,16.4,90.2,4.9,75,B,Good
1744,23.1,72.5,8.3,96.1,A,Excellent
24857,18.6,73.9,4.8,88.2,A,Good
3597,8.2,81.5,6.2,66.1,C,Average
18149,23.9,96.4,5.5,100,A,Excellent
29075,7.1,89.5,7.4,38.6,F,Poor
3862,9.5,94.4,8.5,91.6,A,Excellent
33491,23.6,93.6,3.9,100,A,Excellent
31293,14.2,82.9,5.8,100,A,Excellent
19183,24.8,65.2,4.3,100,A,Excellent
22075,18.3,75.4,5.8,99,A,Excellent
23679,3.2,100,5.4,72.9,B,Average
31091,19.9,75.7,5.3,91.2,A,Excellent
37863,21,67.3,4.9,100,A,Excellent
39067,18.2,84.6,6.2,95.8,A,Excellent
32731,26.2,86.3,4.3,100,A,Excellent
24923,20.3,86.1,5.9,100,A,Excellent
28789,16.4,86.6,5.7,100,A,Excellent
12860,5.2,93.9,6.5,73.9,B,Average
5912,14.4,83.2,8.6,83.6,B,Good
19247,8.8,78.5,8.4,59,C,Poor
34630,20.6,91.3,6.6,96.4,A,Excellent
13400,23.2,70.9,2,100,A,Excellent
36875,9.2,69.4,9,60.4,C,Average
30260,16.3,82.7,7.9,100,A,Excellent
35181,25.5,85.2,8.1,96.3,A,Excellent
37293,22.6,82.3,7.9,100,A,Excellent
22296,0,80.5,4.9,43.4,D,Poor
29295,15.8,81.9,6.4,84.6,B,Good
10496,13.2,76.8,6.2,84.3,B,Good
34669,5.1,84.5,6.7,58.8,C,Poor
19447,10.8,100,7.6,94.8,A,Excellent
27991,18.6,89.1,5.4,100,A,Excellent
38677,14.3,77,2.2,77.3,B,Good
4559,11.2,100,10,70,C,Average
28817,20.5,97,7.3,92.4,A,Excellent
S062,7,59,1,46.5,D,Poor
23966,19,85.9,5.5,97.5,A,Excellent
2734,8.8,71.4,6.1,81,B,Good
13571,12.9,79.4,3.3,81.8,B,Good
32628,33.6,90.8,5.8,100,A,Excellent
14228,13.4,79.4,8,84.3,B,Good
27668,0,88,6.8,52.4,D,Poor
5994,18.6,84,9.2,100,A,Excellent
29016,8.6,89.9,8.3,68.1,C,Average
14132,20.1,82.2,8.5,98,A,Excellent
23969,9.1,87.4,5,82.3,B,Good
33862,22.1,90.2,5.2,100,A,Excellent
31622,14.2,89.8,4.4,98.8,A,Excellent
23414,6.2,88.9,5.8,67.9,C,Average
26987,13,91.7,4.2,84.9,B,Good
29468,21.3,80.5,6.1,100,A,Excellent
32635,18.2,86.6,4.2,90.7,A,Excellent
38222,14.6,84.5,5.7,82,B,Good
5616,0,100,7.6,33.3,F,Poor
21496,9.6,69.3,4.5,62.5,C,Average
23348,10.4,83,9.4,62.9,C,Average
33210,4.6,72.9,5.9,52.2,D,Poor
5902,0,84.1,5.3,29.9,F,Poor
35009,21.5,84.7,6,98.6,A,Excellent
4625,17.5,81.5,8.5,96,A,Excellent
15241,17.9,78,8.5,100,A,Excellent
21191,13.9,95.4,9.6,99.1,A,Excellent
12323,1.1,87.4,5.1,54,D,Poor
39138,7.1,100,5.7,78,B,Good
21264,7.1,93.8,5.3,82,B,Good
11248,14.3,93.5,3.5,91.7,A,Excellent
26615,19.6,80.4,5.7,99.5,A,Excellent
14303,25.3,84.2,5.9,100,A,Excellent
29562,20.4,81.5,9.3,94.2,A,Excellent
25870,20.5,76,4.4,86.7,A,Good
4486,3.8,82.6,4.7,51.6,D,Poor
26196,2,75,4.7,75.7,B,Good
34442,15,90,7.2,76.5,B,Good
2175,9.2,100,4,57.4,C,Poor
8382,17.1,73.2,5.7,87.4,A,Good
36082,14.9,85.7,2.8,94,A,Excellent
33142,28.8,77.5,6.5,100,A,Excellent
20295,13.4,68,6.8,63.3,C,Average
11986,20,100,4.9,100,A,Excellent
16675,13.9,77.7,6.2,84.9,B,Good
28515,16,91.7,5.6,80.9,B,Good
11971,16.8,78.9,5.4,77.1,B,Good
30758,18.8,77.6,5.2,100,A,Excellent
2539,6.3,88.8,9.8,63.7,C,Average
12206,20.3,73.4,5.5,90.9,A,Excellent
5632,21.1,62.8,8.1,93.8,A,Excellent
28392,17.4,78.1,5.1,96.9,A,Excellent
29929,25.4,75.9,5.7,100,A,Excellent
15289,26.9,79.5,2.3,100,A,Excellent
34850,12.1,90.7,5.3,75,B,Good
8969,18.7,92.6,10,100,A,Excellent
17046,8.2,98.4,3.9,67.5,C,Average
31772,19.4,100,5.2,93.8,A,Excellent
29374,3.9,90.2,4.5,54.2,D,Poor
20520,3.9,81.1,3.3,55.6,C,Poor
15762,12.9,83.8,7.7,73.7,B,Average
20867,17.4,61.6,7.5,87.2,A,Good
7626,20.9,96.7,6.8,100,A,Excellent
28537,15.4,77.2,6.7,86.5,A,Good
2759,7.1,100,6.4,66.1,C,Average
36608,17.6,73.2,5.9,79.7,B,Good
27947,5,73.3,7,55.6,C,Poor
10317,23.6,100,8.3,100,A,Excellent
5395,5.1,75.8,4.6,50.3,D,Poor
10491,7.9,96.2,6.1,85.4,A,Good
6347,12,84.7,3.3,75.5,B,Good
3378,8.2,80.9,3.3,77.8,B,Good
39139,14.4,73.6,2.4,100,A,Excellent
35744,20.4,85.9,5.3,100,A,Excellent
4795,13.9,68,6.3,87.6,A,Good
13471,20.3,95.2,8.3,100,A,Excellent
4564,16.5,96.3,7.6,96.2,A,Excellent
23316,4.8,93.6,6.1,69.1,C,Average
32629,20.8,72.5,10,85.2,A,Good
19205,16.2,74.2,5.2,91.3,A,Excellent
6803,0,99.9,4.6,57.3,C,Poor
11904,8.2,76.1,6.5,72.8,B,Average
14137,18.1,86.5,5.6,99.7,A,Excellent
31819,14.7,89.1,6.7,87.1,A,Good
10835,26.5,75.8,6.1,100,A,Excellent
37067,21.2,79.9,6,100,A,Excellent
24700,9.8,100,7.3,88.1,A,Good
25044,12.5,83.7,8.6,80,B,Good
18626,2.2,97,2.4,54.8,D,Poor
3148,10,81.2,4.6,76.5,B,Good
18060,16,64.9,6,95.4,A,Excellent
10922,5.5,86.9,6.2,62.1,C,Average
3897,24.8,83.6,8.7,92.6,A,Excellent
808,11.6,79.2,8,84.5,B,Good
20666,25.1,75.7,6.3,100,A,Excellent
36817,14.6,99,2.1,100,A,Excellent
17688,8.5,71.8,5.8,69.6,C,Average
2563,8.5,80.7,5,87.8,A,Good
37000,8,86.1,8.7,68.8,C,Average
33994,6.1,100,7.3,73.3,B,Average
35596,12.8,82.3,4.9,82.4,B,Good
4173,11.6,100,1.9,75.1,B,Good
11355,20.1,77.1,7.2,97.2,A,Excellent
36320,6.7,100,7,58.1,C,Poor
7533,15.6,85.7,7.7,94,A,Excellent
8846,9.8,91,4.5,68.1,C,Average
6760,16.1,83.1,9.6,83.1,B,Good
1836,17.5,74.1,5.7,100,A,Excellent
26780,6.7,85.1,6.9,68,C,Average
39279,13.1,97.1,4.1,94.7,A,Excellent
13342,9.9,100,3.4,79.5,B,Good
23639,12.2,89,7.2,75.2,B,Good
33928,14.3,84.9,6.6,80.4,B,Good
12568,12.6,90,3.2,82.2,B,Good
18605,2.3,100,1.9,65,C,Average
23929,20.5,94.2,8.3,100,A,Excellent
17733,16.4,84.8,5.2,90.4,A,Excellent
12435,9.6,88.4,5.3,82.6,B,Good
33561,21.1,97.7,7.4,99.3,A,Excellent
22732,6.6,78.8,6.6,70.8,B,Average
32235,17.1,84.2,5.9,73.1,B,Average
36091,12.2,89.1,1.9,83.6,B,Good
17589,15.8,78.1,4.5,93.5,A,Excellent
5101,22.2,88.1,5.3,100,A,Excellent
6680,11.2,82.6,2.6,74.6,B,Average
27631,21.8,73.6,5,100,A,Excellent
9944,27.8,82.9,3.6,100,A,Excellent
31040,20.6,100,7,100,A,Excellent
29026,13.6,78.9,6.6,92.3,A,Excellent
20383,0,94.5,8.8,58.7,C,Poor
25979,4.6,62.3,2.9,61.2,C,Average
24965,2.8,100,4.4,63.9,C,Average
15565,28.5,89.9,5.4,100,A,Excellent
6674,15.9,90.4,6,92.8,A,Excellent
11993,12.2,98.3,6.2,96.3,A,Excellent
28182,4.4,69.9,7.4,53.4,D,Poor
5608,12.3,72.4,7.4,63.1,C,Average
23525,17.9,77.4,5.4,85.5,A,Good
24589,9.5,74.3,3.2,68.8,C,Average
31398,21.6,67.3,6.3,100,A,Excellent
8648,13.5,87.4,7.2,78.5,B,Good
15208,18.2,94.1,5.3,86,A,Good
5586,9.9,79.7,4.6,80.8,B,Good
11513,10.3,84.1,4.3,86.6,A,Good
21965,22,70.7,8.7,100,A,Excellent
25854,19.5,90.8,4.9,92.9,A,Excellent
9860,29.4,92.5,4.6,100,A,Excellent
24011,13.3,83.9,6.2,91.4,A,Excellent
9521,22.2,70.2,5.7,100,A,Excellent
2820,1.5,98.3,5,43.2,D,Poor
S063,11,67,6,73.5,B,Average
26355,7.6,70.5,6.8,69.7,C,Average
25336,16.6,71.9,5.7,100,A,Excellent
23289,17.1,79.1,4.1,78.5,B,Good
25342,13.9,82.4,5.4,70.2,B,Average
7709,9.9,87.2,3.8,74,B,Average
16218,7.7,88.9,5.8,62.8,C,Average
37495,12.3,76.5,8.8,58.3,C,Poor
21302,19.7,74.4,2.2,97.1,A,Excellent
20011,20.6,100,6.7,100,A,Excellent
29453,20.5,73.2,10,100,A,Excellent
19243,5,93.7,9,55.4,C,Poor
17506,24.1,72.9,6.3,100,A,Excellent
36235,13.1,83.5,5.4,89,A,Good
33717,22.2,77,5.5,100,A,Excellent
23320,5.3,75.6,7.6,54.7,D,Poor
2791,19.2,88.4,5.7,100,A,Excellent
17528,22,88.1,5.1,100,A,Excellent
24337,17.5,87.5,8.9,100,A,Excellent
38111,15.6,79.1,5.9,80.8,B,Good
21119,7.9,89.5,8.5,69.4,C,Average
26119,0,73,7,42.8,D,Poor
21511,6.9,100,5.8,71.5,B,Average
31914,17.3,82,4.6,86.5,A,Good
7061,25.8,86,7.1,100,A,Excellent
13808,8.5,84.4,5.7,73.7,B,Average
204,22.4,77.5,5.1,99.4,A,Excellent
39333,13.1,85.6,5.8,80.2,B,Good
15109,19.3,73.9,5.5,99.7,A,Excellent
32774,26,92.6,5.8,100,A,Excellent
5183,13.6,66.3,5.6,89.5,A,Good
24699,23.5,100,6.1,93.9,A,Excellent
18845,19,84.8,5.3,97.4,A,Excellent
21390,20.1,100,4.1,94.3,A,Excellent
21660,14.5,88.8,7.2,95,A,Excellent
20892,12.9,100,5.2,90.4,A,Excellent
8526,7.6,87,8.4,69.1,C,Average
29151,16.6,75.7,8.2,93,A,Excellent
22023,3.8,97,6.4,64.9,C,Average
10489,8.1,80.8,4.2,70.1,B,Average
5004,12.7,72.4,5.5,75.3,B,Good
38992,0,75.8,6.8,50.2,D,Poor
14695,18.9,92.1,5.2,78.6,B,Good
23415,15.2,99,8,84.4,B,Good
25607,23.1,87.4,3.9,100,A,Excellent
4681,13.4,71.4,4.8,73.1,B,Average
19518,8.3,65.7,4.9,68.3,C,Average
34882,11.9,76.6,5.6,78.8,B,Good
37245,21.1,74.8,4.2,93.4,A,Excellent
5438,23.3,75.1,6.6,100,A,Excellent
3021,23.4,73.1,3.2,100,A,Excellent
19569,15,78.2,5.4,100,A,Excellent
14047,12.8,89.9,7.7,95.7,A,Excellent
30978,10,76,7.2,84.2,B,Good
34397,7.2,99.7,9.6,63.3,C,Average
35432,17.9,84.2,2.4,92.9,A,Excellent
29133,20.3,86,6.2,100,A,Excellent
17820,3.1,88.4,8.3,60.6,C,Average
31762,10.7,83.7,4.7,70.1,B,Average
23359,5.8,96.9,9.7,81.5,B,Good
6291,13.3,87,2.3,77.3,B,Good
23354,20.2,80,6.3,100,A,Excellent
35620,20.2,75.2,4.6,100,A,Excellent
19892,0,85.9,6.2,59.5,C,Poor
6372,13.7,82.7,6.3,73.2,B,Average
33708,25.1,88.2,0.7,100,A,Excellent
25362,14.3,72.2,7.8,93,A,Excellent
12556,4.5,87.8,3.9,54.5,D,Poor
30565,23.9,61.4,3.2,100,A,Excellent
3240,21.6,89.1,5.7,100,A,Excellent
19926,20.2,81,6.1,91.2,A,Excellent
16081,13.5,77.2,8.1,81,B,Good
1247,15.2,89.1,4.7,86.5,A,Good
28805,22.3,100,2.9,100,A,Excellent
29646,5.6,70.8,5.3,51.7,D,Poor
290,10.6,83.8,4.4,80.8,B,Good
S122,7,70,7,70,B,Average
18280,17.5,67.9,4.7,71,B,Average
13867,20,93.6,8.2,100,A,Excellent
38433,19.3,76,3.8,92.8,A,Excellent
31245,27.2,77.8,4.8,100,A,Excellent
33448,14.8,93.7,6.8,99.7,A,Excellent
22756,6.7,100,4.4,73.1,B,Average
28014,0,97.3,5.2,43.8,D,Poor
21150,5.5,78,5.2,55.1,C,Poor
14367,10.7,79.2,5.7,85,A,Good
34287,4.2,74.2,8,62.4,C,Average
17494,8.1,74.8,6.6,71.3,B,Average
21974,17.1,84.7,5,81.5,B,Good
10795,21,72.4,6.1,99.9,A,Excellent
6496,17.7,65.2,6.6,83.9,B,Good
38093,18.5,86.9,8.2,94,A,Excellent
25754,18.5,86.4,6.5,91.8,A,Excellent
1131,17.2,85,9.5,93.7,A,Excellent
35205,16.8,83.5,4.7,90.5,A,Excellent
34416,1.3,96.2,8.2,59.2,C,Poor
25796,17.9,78.9,8,93.7,A,Excellent
28261,5,82.1,3.6,78.7,B,Good
7707,26,93.4,6.9,100,A,Excellent
23253,24.4,79.4,2.6,97.9,A,Excellent
32672,15.9,99.8,5.8,81.6,B,Good
21402,17.5,89.5,5.4,98.3,A,Excellent
3402,19,89.7,4.5,85.9,A,Good
13007,9.3,84.3,6.5,82.9,B,Good
24615,17.9,77.6,7.9,83.8,B,Good
23062,10.2,89.9,6.3,66.5,C,Average
1143,13.9,88.2,2.9,66.3,C,Average
28150,14.1,69.1,10,88.2,A,Good
30124,25,86.9,9.9,100,A,Excellent
11502,17.9,81.4,7.4,100,A,Excellent
24745,16.7,80.4,7.8,79.1,B,Good
10972,13.7,85.9,5.2,84.2,B,Good
7799,16,81.1,7.6,88.3,A,Good
25740,15.2,93.3,8.3,97.2,A,Excellent
9606,25.7,89,3.6,100,A,Excellent
20375,12.8,82,4.4,75.2,B,Good
28022,25.6,85.2,2.8,100,A,Excellent
5528,15.1,61.5,7.2,81.6,B,Good
13616,16,77.2,6,98.1,A,Excellent
22761,22.2,87.8,6.6,100,A,Excellent
1921,1.1,100,4.9,62.5,C,Average
18625,13.6,94,6.6,86.4,A,Good
11977,16.4,100,6.4,77.1,B,Good
39119,11,88.6,3.9,89.6,A,Good
30659,28.8,89.4,2.8,100,A,Excellent
14788,12.1,82.4,5.4,75.1,B,Good
14333,6,73.8,4,74.5,B,Average
9280,12.9,92.3,3,78.3,B,Good
